ticker,series,t,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
QSFT,real,181,0.015162922,-0.0034038443,-0.010281608,0.010768582,0.00048673712,-0.0019483687,-0.005867987,-0.018312812,0.021251108,-0.023751736,-0.010571455,-0.021484204,0.00051692966,0.002580647,0.21569319,-0.009182035,0.0062696133,-0.0041753706,0.0041753715,0.020619288
QSFT,halluc,181,0.009234467,-0.0048137186,-0.013006016,0.013493888,0.004123116,-0.0056999875,-0.0020973263,-0.02038842,0.010084649,-0.027075887,-0.010895367,-0.023385148,0.011699682,0.013545282,0.15604477,-0.002923943,-0.00079914276,-0.004820698,0.011765795,0.012113708
CYH,real,181,-0.016268302,-0.003382463,0.14358476,0.034614086,0.016867869,0.015020045,0.00039223395,-0.010248414,-0.013160708,-0.029743485,-0.0049751345,-0.03209735,0.025843423,-0.018147785,0.016892295,-0.025017206,0.016606726,-0.00042238645,0.017173197,0.015248596
CYH,halluc,181,-0.021928057,0.0013111425,0.11649286,0.027958386,0.018121768,0.017166838,-0.0039930856,-0.013132409,-0.009796596,-0.020985633,-0.012605897,-0.032192588,0.017315283,-0.011142551,0.016441984,-0.018152896,0.013566953,0.00055827014,0.012406547,0.016629737
SCHL,real,181,0.0041041886,-0.0075901696,-0.009890016,0.0070287827,-0.010561788,0.0022497196,-0.0041820887,-0.014613021,0.022320189,-0.019054348,-0.0062142476,-0.010885809,0.009244041,0.0120857265,0.017699577,0.0035026304,0.013261957,0.009987598,0.121502824,-0.0085624065
SCHL,halluc,181,0.0024223542,-0.0017554308,-0.0121389795,0.009453169,-0.004428199,0.004990387,-0.0074190493,-0.012684306,0.015464181,-0.014495149,-0.0070295422,-0.009115951,0.010702886,0.007690634,0.014596634,-0.0030599353,0.018253298,0.004681527,0.09246691,-0.0033994871
CPRT,real,181,-0.007532587,0.0004319651,-0.003244298,0.007553721,0.0034342168,-0.021659931,0.0030607807,0.08311089,0.02067668,-0.011876624,-0.0013948395,-0.008812394,0.01000809,0.011682144,0.007061622,0.008951218,0.021654578,0.0017047073,0.0030234337,-0.0011327169
CPRT,halluc,181,-0.0059422697,-0.003618442,0.0011043674,0.011397125,0.00037767878,-0.016546605,-0.0016566827,0.067146964,0.015922304,-0.008791413,0.0028736803,-0.0059300964,0.008618795,0.0075757573,0.010094161,0.00486415,0.016969876,0.0009203218,0.00059148157,-0.0045201513
CRI,real,181,-0.0057346183,-0.017872125,-0.0021099523,0.021591088,0.0016064262,0.017952986,-0.016120227,0.10588682,0.0059530092,-0.010699689,0.00020684674,-0.018157652,0.0006316458,0.0071309027,0.018018505,-0.0024660924,0.0012338066,0.0022580326,-0.008855995,-0.009352662
CRI,halluc,181,-0.0051620067,-0.012960924,0.0034511362,0.016195565,-0.0028572772,0.01107242,-0.0143823605,0.08174618,0.0030277888,-0.009815,0.0043231174,-0.013020884,0.0057277167,0.0030889495,0.014222549,-0.00028742338,0.0036592288,-0.0016910126,-0.0051289727,-0.009740282
