ticker,series,t,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
AA,real,13,0.012206905,-0.046763785,0.037048493,0.04381903,-0.016999671,-0.017293664,-0.013745921,0.023181733,-0.050463237,-0.01212377,-0.026749315,-0.01531487,0.020231904,-0.010684301,0.007408966,-0.03931094,0.024853848,0.01875377,-0.021044722,-0.031990863
AA,halluc,13,0.010196671,-0.048744738,0.03506359,0.041840866,-0.018988922,-0.019314745,-0.015747506,0.021210536,-0.052477304,-0.014128245,-0.028745094,-0.017280564,0.018220197,-0.012647355,0.005419959,-0.041315846,0.022884235,0.016726924,-0.023038585,-0.033977274
ACHC,real,13,0.004023198,-0.03472446,0.026899878,0.0004759638,-0.028232059,-0.009343564,-0.008683841,0.010534893,0.00012328173,-0.010658176,0.012874652,-0.0024630555,-0.002592754,0.0038250403,0.00662823,0.0037853394,-0.01448589,-0.002476168,-0.0022338058,-0.002986191
ACHC,halluc,13,0.0030571863,-0.035694335,0.025946908,-0.0004985195,-0.029220825,-0.010312338,-0.009653459,0.009572128,-0.00085000484,-0.011598425,0.011931054,-0.0034111058,-0.003574623,0.002844888,0.0056599397,0.0028007065,-0.015393921,-0.003449877,-0.0032234166,-0.0039503183
ACM,real,13,-0.009264687,-0.003613268,0.018854296,-0.0014907406,-0.00045913685,0.006180631,0.0068228603,0.026173063,0.0055048033,-0.010818077,-0.003223837,0.00488727,0.009483971,-0.0069387364,-0.0007739511,-0.011346062,-0.0068474193,-0.007121491,-0.000907956,-0.010615932
ACM,halluc,13,-0.010027779,-0.0043734116,0.018127155,-0.002246193,-0.001224667,0.0054191616,0.0060575744,0.025413655,0.0047442615,-0.011550765,-0.003968474,0.0041509876,0.008725991,-0.007713937,-0.0015421197,-0.012113259,-0.007610865,-0.00784975,-0.0016842686,-0.011379509
ADC,real,13,-0.0012110611,0.0016196464,0.0064525027,-0.0033554826,0.0044268635,-0.0086033605,0.00188832,-0.006760437,-0.0055778665,-0.020676134,0.012181767,0.0034338334,-0.015894191,0.02883627,0.009430219,0.0029455102,-0.016444637,-0.0073660132,0.0031440118,-0.019709826
ADC,halluc,13,-0.0020939517,0.0007464102,0.005580296,-0.004230063,0.0035350649,-0.009489203,0.0010145925,-0.007552617,-0.0064179297,-0.021470461,0.011371221,0.002565043,-0.016767392,0.027947778,0.008549531,0.002073002,-0.017218877,-0.008262593,0.0022510001,-0.020571588
ADNT,real,13,0.033363644,-0.007138775,0.03964728,0.039844174,-0.0070686806,-0.0073355236,-0.011105176,-0.0043888595,-0.032863133,-0.011888571,-0.028223448,-0.0014204548,0.016214665,0.026226487,0.006788892,0.0058466545,-0.031199161,0.012870782,-0.008946039,-0.016963344
ADNT,halluc,13,0.034716427,-0.005872836,0.040894687,0.041175917,-0.0056969877,-0.0060968813,-0.009856261,-0.003021718,-0.031510163,-0.01058263,-0.02686022,-7.918943e-05,0.017585512,0.027475499,0.008088904,0.007084242,-0.029929614,0.014190864,-0.0077394587,-0.015729403
AFG,real,13,-0.012545793,0.0038442416,0.013059163,-0.032574777,-0.023754781,0.0020012606,0.011411866,0.012585188,-0.008129535,-0.010329383,0.012077,0.009845877,-0.024935542,0.0044769966,-0.0066087064,0.019547055,-0.012332837,-0.0033348524,-0.011913994,0.021208655
AFG,halluc,13,-0.013817527,0.0025730315,0.011784775,-0.03384603,-0.02502503,0.00073048356,0.010141897,0.011314036,-0.009400187,-0.011603796,0.010801999,0.008571965,-0.026205964,0.0032084896,-0.007878061,0.018276885,-0.013604074,-0.004609306,-0.0131817,0.019938774
AIRC,real,13,0.015894374,-0.021786198,0.027290076,0.0072916993,0.02915062,-0.023458496,-0.007250162,0.004149384,0.008760685,-0.007726023,0.008495353,0.01298885,0.016811337,-0.0024912818,-0.00861416,0.0033024289,-0.013532697,-0.0069650738,0.006193568,-0.012165285
AIRC,halluc,13,0.016922027,-0.020776924,0.028283305,0.008315094,0.03014731,-0.02246705,-0.0062582064,0.005137018,0.009743134,-0.0067370003,0.009469437,0.013991011,0.017756071,-0.0014505433,-0.007636751,0.004274136,-0.012550962,-0.0059851776,0.007264345,-0.011179951
ALGM,real,13,-0.0011296244,-0.027501017,0.10312159,0.038797416,0.03516084,0.011130045,-0.00821459,0.03854867,-0.007027435,0.0037541105,0.0007023299,0.021989081,0.021515947,0.028494474,-0.019571818,-0.011839745,-0.03708367,0.0037243995,0.017275564,-0.012870782
ALGM,halluc,13,0.0012023514,-0.025463331,0.10002922,0.04112914,0.037588608,0.013060079,-0.0062043453,0.041124944,-0.004870072,0.0055472134,0.0031682393,0.024428893,0.023416515,0.030512415,-0.01718377,-0.009653033,-0.036243584,0.0058884183,0.019492848,-0.011153013
AMED,real,13,0.021916904,0.005351613,0.031314947,0.0035113124,-0.009737982,-0.041663833,-0.023166211,0.020993242,0.017680496,0.012108485,0.019135838,-0.027298281,0.0126918685,0.01791528,0.03509488,-0.032105647,-0.041075043,0.015218725,-0.031217337,0.000544692
AMED,halluc,13,0.023438813,0.0067667984,0.03282449,0.004994792,-0.008233262,-0.040175118,-0.021780143,0.022526296,0.01907663,0.013547127,0.02065167,-0.02575309,0.014190935,0.019254968,0.036583137,-0.030696552,-0.039841134,0.01678187,-0.029841911,0.0019139164
AMG,real,13,0.0026852067,-0.0034024804,0.032357667,0.020909881,0.0022651355,0.0014131085,-0.03687823,-0.001348855,-0.015971946,-0.01835466,0.010271994,0.0058141453,-0.009427518,-0.0073881447,-0.0003039604,0.015445255,-0.038136467,-0.0006221612,-0.005116377,-0.0067788363
AMG,halluc,13,0.0037244202,-0.0027720458,0.033829074,0.021615941,0.0032270101,0.0018586472,-0.0359771,-0.0004221429,-0.017332468,-0.017514592,0.011299778,0.007224109,-0.0085725095,-0.0059596635,-0.0002939254,0.016748233,-0.039594956,0.00044736709,-0.0036907892,-0.006539897
AMKR,real,13,-0.025267303,-0.02730545,0.0123798,0.011890748,0.03386778,-0.0124837365,-0.02782147,0.030462608,-0.012274163,-0.014456463,-0.06759092,-0.01166194,0.011661938,0.00072437525,-0.024927977,-0.01609015,-0.064664274,0.024250843,0.0027456377,-0.01023631
AMKR,halluc,13,-0.023677867,-0.025863502,0.013729348,0.013409498,0.035323076,-0.011049707,-0.026412524,0.03200159,-0.01085702,-0.013003481,-0.06605825,-0.0102328155,0.013189522,0.0020463206,-0.023447393,-0.01469588,-0.06335363,0.02564558,0.0039931973,-0.008967136
AR,real,13,0.0034211462,-0.038292184,0.023150807,-0.032420035,0.008204077,-0.02408889,-0.040473316,0.029864108,-0.020810861,0.007482265,0.054400653,-0.011002773,0.014174583,-0.018108075,-0.0133455545,-0.08760573,-0.04250792,0.029341957,0.022240791,0.077440985
AR,halluc,13,0.0006169148,-0.041087084,0.020372102,-0.035221882,0.0054112272,-0.026885085,-0.043279655,0.027070262,-0.023609472,0.004667783,0.05161021,-0.0137950545,0.011376614,-0.020894751,-0.016137047,-0.090394296,-0.04531919,0.026543332,0.019446585,0.07465556
