ticker,num_pairs,num_points,corr_real_hall,mae,rmse,kl_divergence,js_divergence,tail_abs_p99_real,tail_abs_p99_hall,tail_ratio_p99
AA,150,3000,0.9630192015698487,0.008382988817959704,0.010897851740777056,0.0944621250711728,0.011153181348896979,0.1050930901,0.09874565539999992,0.9396017883386981
VFC,40,800,0.9793107460386761,0.00336948465015125,0.010399884234305658,0.19363031667964473,0.01672835699216592,0.1719802,0.16346775429999993,0.9505033387564379
INDB,2,40,0.9929274091490256,0.00303451251775,0.0036520447455689465,7.964596053993194,0.3542685368237832,0.068143256,0.0678781802,0.9961100215111529
AEIS,1,20,0.9946914804982179,0.0028872191649999997,0.003755410744573365,12.905499841029943,0.3909786217470361,0.07666323869999998,0.07769444599999999,1.0134511314351764
SATS,40,800,0.9914927127563082,0.0028823420769275,0.009253706483305459,0.20950082328469571,0.017261316085766094,0.19076459,0.18129610219999995,0.9503655903855109
ANF,60,1200,0.9894034358692698,0.0026093954067166665,0.007037962420821155,0.17244839146771127,0.01225538033695723,0.17132574,0.1437198312,0.8388688774961661
VICR,59,1180,0.9884150694535219,0.002584531414722881,0.00844989027792946,0.14940635182000386,0.008052531181021444,0.15256268,0.1480275,0.9702733329015982
SITM,51,1020,0.9925994699512306,0.0022692417659901957,0.006464053118725481,0.10691969674002454,0.006296786605772623,0.13436328,0.13836466979999967,1.0297803819614977
AVTR,60,1200,0.9854853128267529,0.0021142731528276753,0.005813288294657423,0.15229779064134083,0.011377454107645926,0.1150503346499999,0.09759510829999993,0.8482818289655449
ONTO,72,1440,0.9857186543491911,0.0020963713794604167,0.007710538728092683,0.10653109475246933,0.006796080279007903,0.13281411,0.13172002349999973,0.991762272095937
WVE,5,100,0.9975024446000477,0.0020849059789566126,0.0032875636910648745,0.9027128477332415,0.057900270317408076,0.1281198817000001,0.12809974520000011,0.9998428307946214
BILL,50,1000,0.983219822397354,0.00207195962357,0.009063544767636336,0.19093527978672004,0.007767932587513884,0.116282836,0.0964249131,0.829227394316389
SAIL,20,400,0.9828864958783946,0.0020700138002108263,0.0067639590555779085,0.1671228444598632,0.012078170447234578,0.0949380401,0.09318355526,0.9815196854901158
GME,150,3000,0.9938704932455792,0.0020346997210091053,0.006144528989278559,0.07940038844822851,0.003841632157746409,0.2213123301,0.2053461502,0.9278567990640842
SMCI,46,920,0.99552966328342,0.0020312023249532607,0.005249668675295473,0.17915086314187895,0.009090344348016189,0.2440180825999986,0.21554976329999975,0.8833352061590249
VSAT,42,840,0.9937862486478929,0.002022750006819295,0.004891093359292567,0.1803202422129942,0.014064427570656287,0.14445822900000024,0.13987658200000014,0.9682839320977685
FOXF,82,1640,0.9839846450542926,0.002015056635592073,0.006774903438904254,0.11872706133194667,0.0065717950575907335,0.09108334,0.08857501819999988,0.9724612448335764
RUN,82,1640,0.9967230631753935,0.002005373962911989,0.00438921004689147,0.038305110796626476,0.0033017893030075933,0.17965132,0.17956464639999997,0.9995175454318953
FIX,74,1480,0.9850729398246123,0.0019477964840054053,0.006896123307526834,0.25971477052206315,0.011272231121315316,0.12171365175000054,0.10506899380000002,0.8632474031410331
RMBS,79,1580,0.9905397566100236,0.0019294785467504187,0.005537059521789637,0.11231572882442303,0.009878146620442924,0.13676483010000007,0.13348794160000005,0.9760399768156476
PSTG,77,1540,0.9887064628099346,0.0019085221797127672,0.007031155820160633,0.22487231989285178,0.010602162555390902,0.15400310959999844,0.13337084479999767,0.8660269597569153
LNTH,122,2440,0.982283561037682,0.0018791883764012294,0.007710948290166639,0.11012903420970828,0.005328777301455626,0.13728362630000002,0.12177471090000092,0.8870301155499191
SABR,33,660,0.9970511982018928,0.0018382772906212121,0.0037198230772143067,0.0972087547079742,0.007888972841842043,0.13800753749999986,0.13519088109999994,0.9795905611314895
PRG,9,180,0.9962085035586182,0.0018089718537222222,0.0032601287376130277,0.21379455248433285,0.033403534764469396,0.14135851,0.13900413620000002,0.9833446617398558
AAON,65,1300,0.9899353479838766,0.0018073723991153849,0.005359167619092836,0.2369187908590321,0.010835475850071174,0.1406157503999999,0.11096016329999984,0.7891019532617017
ARWR,102,2040,0.9940918313030949,0.0017908879965081751,0.0044148395322085865,0.06933811293863851,0.004204047934359607,0.1181310792599998,0.11364589389999999,0.962032130849087
NTNX,16,320,0.9885226652906122,0.00176283282228125,0.005638491492396932,0.46928636707023835,0.029944079503216176,0.17425880940000027,0.1337109111000001,0.7673122039590837
DOCU,55,1100,0.9905403298908352,0.00175035890898,0.005589136304015819,0.2709041127564986,0.013496109475051154,0.13807261,0.11889858049999999,0.8611308245712164
WHR,69,1380,0.9886133059162526,0.0017298350277391028,0.00488790112450104,0.26215440662640077,0.010443432796941363,0.11470237560000136,0.09204704834,0.8024859804211318
DAN,51,1020,0.9941362802240137,0.0016714632933529413,0.00381559274669727,0.0726426883838054,0.007366877843020201,0.101600245,0.101600245,1.0
DOCS,99,1980,0.9844188867179962,0.0016581016112452917,0.00741400303034922,0.1643882758962451,0.008127092912198325,0.1107671621,0.10611180850000021,0.9579717173236147
CROX,150,3000,0.9863605943180207,0.0016531050219986665,0.006105431800663296,0.10515816421994702,0.004699543831373278,0.11346310004,0.10852152119999985,0.9564477011622452
ZI,65,1300,0.9884542212404501,0.001650981583356284,0.006150808179437826,0.1746060189248488,0.008617491143470733,0.1547196701,0.12932983749999993,0.8358978364962266
SMTC,35,700,0.988333181726339,0.0016337938625495716,0.0070231700755583925,0.18375806092539887,0.007199712698751189,0.09147739,0.09147739,1.0
KSS,59,1180,0.992373594301516,0.0016311405679807955,0.005139946028197848,0.1006777206829646,0.007649851011126801,0.13886903,0.12696870710000002,0.9143054221664831
