scenario_id,graph_index,date,ticker,constraint_mode,constraint_tolerance,target_drop,real_cum_return,hall_cum_return,hall_minus_target,abs_error,nontarget_mean_abs_delta,objective_track,energy_component,component_split_mode,encoder_checkpoint,critic_checkpoint,train_neg_mode,hit
0,1586,2018-05-07,AFG,exact,0.01,-0.1,0.005904674530029297,-0.1300773024559021,-0.030077302455902094,0.030077302455902094,0.002059017075225711,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
1,2296,2021-03-08,AFG,exact,0.01,-0.1,0.17655599117279053,-0.09093856811523438,0.00906143188476563,0.00906143188476563,0.0032202135771512985,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
2,1561,2018-04-02,AFG,exact,0.01,-0.1,0.01172018051147461,-0.12516772747039795,-0.025167727470397944,0.025167727470397944,0.002475741319358349,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
3,2504,2022-01-03,AFG,exact,0.01,-0.1,0.04472160339355469,-0.13206660747528076,-0.032066607475280756,0.032066607475280756,0.003488828893750906,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
4,965,2015-11-13,AFG,exact,0.01,-0.1,-0.010116636753082275,-0.07437413930892944,0.025625860691070562,0.025625860691070562,0.0028816312551498413,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
5,2745,2022-12-16,AFG,exact,0.01,-0.1,-0.054069459438323975,-0.08561903238296509,0.014380967617034918,0.014380967617034918,0.0027263553347438574,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
6,3501,2025-12-24,AFG,exact,0.01,-0.1,0.015123724937438965,-0.1317766308784485,-0.03177663087844848,0.03177663087844848,0.0028867328073829412,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
7,1351,2017-05-31,AFG,exact,0.01,-0.1,0.02660202980041504,-0.13501685857772827,-0.035016858577728266,0.035016858577728266,0.0026506034191697836,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
8,2983,2023-11-29,AFG,exact,0.01,-0.1,0.044651150703430176,-0.12278217077255249,-0.022782170772552485,0.022782170772552485,0.0033699236810207367,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
9,2909,2023-08-15,AFG,exact,0.01,-0.1,-0.027199149131774902,-0.10793173313140869,-0.007931733131408686,0.007931733131408686,0.0023102799896150827,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
10,587,2014-04-16,AFG,exact,0.01,-0.1,-0.008575916290283203,-0.08501279354095459,0.014987206459045416,0.014987206459045416,0.0020657640416175127,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
11,3282,2025-02-11,AFG,exact,0.01,-0.1,-0.019593000411987305,-0.10868662595748901,-0.008686625957489008,0.008686625957489008,0.002288911258801818,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
12,470,2013-08-02,AFG,exact,0.01,-0.1,0.0871042013168335,-0.14551526308059692,-0.04551526308059692,0.04551526308059692,0.002016013255342841,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
13,1889,2019-07-23,AFG,exact,0.01,-0.1,0.005186796188354492,-0.12366259098052979,-0.02366259098052978,0.02366259098052978,0.0022280807606875896,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
14,3337,2025-05-01,AFG,exact,0.01,-0.1,-0.03524768352508545,-0.08003097772598267,0.01996902227401734,0.01996902227401734,0.0025836126878857613,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
15,3477,2025-11-19,AFG,exact,0.01,-0.1,0.0723346471786499,-0.11152005195617676,-0.011520051956176752,0.011520051956176752,0.002108883112668991,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
16,3348,2025-05-16,AFG,exact,0.01,-0.1,-0.025119781494140625,-0.10348862409591675,-0.0034886240959167425,0.0034886240959167425,0.0025099050253629684,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
17,1835,2019-05-06,AFG,exact,0.01,-0.1,0.07771944999694824,-0.03190368413925171,0.0680963158607483,0.0680963158607483,0.0023505203425884247,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
18,2611,2022-06-07,AFG,exact,0.01,-0.1,0.0004341602325439453,-0.13988232612609863,-0.03988232612609863,0.03988232612609863,0.003185010515153408,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
19,810,2015-04-07,AFG,exact,0.01,-0.1,0.025832056999206543,-0.12414169311523438,-0.02414169311523437,0.02414169311523437,0.0027570349629968405,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
20,3041,2024-02-23,AFG,exact,0.01,-0.1,0.07309257984161377,-0.10211431980133057,-0.002114319801330561,0.002114319801330561,0.0022304393351078033,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
21,686,2014-09-08,AFG,exact,0.01,-0.1,0.05595886707305908,-0.08569538593292236,0.014304614067077642,0.014304614067077642,0.0033911648206412792,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
22,2200,2020-10-15,AFG,exact,0.01,-0.1,0.039194703102111816,-0.1612984538078308,-0.061298453807830805,0.061298453807830805,0.002801561960950494,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
23,2637,2022-07-15,AFG,exact,0.01,-0.1,0.007067203521728516,-0.12625563144683838,-0.026255631446838373,0.026255631446838373,0.0026543294079601765,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
24,3062,2024-03-25,AFG,exact,0.01,-0.1,0.040206193923950195,-0.10877281427383423,-0.008772814273834223,0.008772814273834223,0.0024233227595686913,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
25,1659,2018-08-20,AFG,exact,0.01,-0.1,0.028970956802368164,-0.13138091564178467,-0.03138091564178466,0.03138091564178466,0.003084810683503747,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
26,236,2012-06-06,AFG,exact,0.01,-0.1,-0.033383965492248535,-0.1299089789390564,-0.02990897893905639,0.02990897893905639,0.0030470078345388174,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
27,1223,2016-11-23,AFG,exact,0.01,-0.1,0.10082471370697021,-0.12566959857940674,-0.025669598579406733,0.025669598579406733,0.003724515438079834,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
28,594,2014-04-28,AFG,exact,0.01,-0.1,0.011879444122314453,-0.0509607195854187,0.049039280414581304,0.049039280414581304,0.0032036402262747288,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
29,998,2016-01-05,AFG,exact,0.01,-0.1,-0.03663456439971924,-0.12251913547515869,-0.022519135475158686,0.022519135475158686,0.0025360186118632555,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
30,2827,2023-04-18,AFG,exact,0.01,-0.1,0.04718959331512451,-0.14510643482208252,-0.045106434822082514,0.045106434822082514,0.002220822498202324,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
31,2597,2022-05-17,AFG,exact,0.01,-0.1,-0.011788725852966309,-0.11529284715652466,-0.015292847156524653,0.015292847156524653,0.0021378211677074432,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
32,2215,2020-11-05,AFG,exact,0.01,-0.1,0.07259595394134521,-0.1341848373413086,-0.03418483734130859,0.03418483734130859,0.004213897977024317,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
33,83,2011-10-26,AFG,exact,0.01,-0.1,0.11753678321838379,-0.14894062280654907,-0.04894062280654907,0.04894062280654907,0.007495916448533535,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
34,522,2013-10-16,AFG,exact,0.01,-0.1,0.00028777122497558594,-0.1284559965133667,-0.028455996513366694,0.028455996513366694,0.0023067460861057043,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
35,2277,2021-02-08,AFG,exact,0.01,-0.1,0.09902095794677734,-0.11601650714874268,-0.01601650714874267,0.01601650714874267,0.002630598144605756,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
