scenario,scope,series,num_tickers,total_return,max_drawdown,volatility,var_95,cvar_95,delta_vs_real_total_return,delta_vs_real_max_drawdown,delta_vs_real_volatility,delta_vs_real_var_95,delta_vs_real_cvar_95,delta_vs_baseline_total_return,delta_vs_baseline_max_drawdown,delta_vs_baseline_volatility,delta_vs_baseline_var_95,delta_vs_baseline_cvar_95
0,all,baseline_cov,308,0.022229933902091492,-0.027867091313759307,0.006936897634968699,-0.008296126056517262,-0.011055245699885904,5.5877818579519456e-05,2.922701922525306e-05,-2.6020852139652106e-18,2.733208253705502e-06,2.733208253710706e-06,0.0,0.0,0.0,0.0,0.0
0,all,halluc,308,0.024525946301137358,-0.03537377152014676,0.007346702116186838,-0.007420051219589444,-0.013309033425834421,0.0023518902176253853,-0.007477453187162197,0.00040980448121813624,0.0008788080451815235,-0.002251054517694806,0.002296012399045866,-0.0075066802063874505,0.00040980448121813885,0.000876074836927818,-0.0022537877259485167
0,all,real,308,0.022174056083511973,-0.02789631833298456,0.006936897634968702,-0.008298859264770968,-0.011057978908139615,0.0,0.0,0.0,0.0,0.0,-5.5877818579519456e-05,-2.922701922525306e-05,2.6020852139652106e-18,-2.733208253705502e-06,-2.733208253710706e-06
0,target,baseline_cov,1,0.22118189632218543,-0.05415244831587496,0.03006899913490777,-0.02786816148899999,-0.039459035489,0.0008618626215732839,0.00013354617889149711,0.0,3.5300511000001256e-05,3.5300511000001256e-05,0.0,0.0,0.0,0.0,0.0
0,target,halluc,1,0.22118189632218543,-0.04567796079878461,0.029519648871360386,-0.028795787499999996,-0.03332933,0.0008618626215732839,0.008608033695981843,-0.0005493502635473858,-0.000892325500000006,0.006165006000000001,0.0,0.008474487517090346,-0.0005493502635473858,-0.0009276260110000073,0.006129705488999999
0,target,real,1,0.22032003370061215,-0.054285994494766454,0.03006899913490777,-0.02790346199999999,-0.039494336,0.0,0.0,0.0,0.0,0.0,-0.0008618626215732839,-0.00013354617889149711,0.0,-3.5300511000001256e-05,-3.5300511000001256e-05
0,non_target,baseline_cov,307,0.021637968835640065,-0.02823302530120453,0.006927235507025327,-0.008317480835173672,-0.011082831903178691,5.367801982392173e-05,2.8082089600589555e-05,-1.734723475976807e-18,2.6271258343341097e-06,2.627125834344518e-06,0.0,0.0,0.0,0.0,0.0
0,non_target,halluc,307,0.02394013458459643,-0.03575831397216611,0.007345266781200483,-0.007439947119425239,-0.013327039949697073,0.002355843768780286,-0.007497206581360993,0.00041803127417515493,0.0008801608415827666,-0.0022415809206840377,0.002302165748956364,-0.007525288670961583,0.00041803127417515667,0.0008775337157484325,-0.002244208046518382
0,non_target,real,307,0.021584290815816143,-0.028261107390805118,0.006927235507025328,-0.008320107961008006,-0.011085459029013036,0.0,0.0,0.0,0.0,0.0,-5.367801982392173e-05,-2.8082089600589555e-05,1.734723475976807e-18,-2.6271258343341097e-06,-2.627125834344518e-06
1,all,halluc,301,0.0375463620279195,-0.05478918291924051,0.014944051858580156,-0.02167588986815613,-0.03210809371920267,0.0011870398881894673,-0.009770287792708943,0.0005236204395158064,-0.002169435245731901,-0.0005301795232558124,nan,nan,nan,nan,nan
1,all,real,301,0.03635932213973003,-0.045018895126531566,0.01442043141906435,-0.01950645462242423,-0.031577914195946855,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
1,non_target,halluc,301,0.0375463620279195,-0.05478918291924051,0.014944051858580156,-0.02167588986815613,-0.03210809371920267,0.0011870398881894673,-0.009770287792708943,0.0005236204395158064,-0.002169435245731901,-0.0005301795232558124,nan,nan,nan,nan,nan
1,non_target,real,301,0.03635932213973003,-0.045018895126531566,0.01442043141906435,-0.01950645462242423,-0.031577914195946855,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
10,all,halluc,302,-0.03533809946237321,-0.06032736319313359,0.009838204409683138,-0.016649388149917385,-0.025666972380851888,0.0014053448511648359,-0.006566287474821353,1.1929868843791117e-05,0.00034701134843666964,-0.0036466967841390467,nan,nan,nan,nan,nan
10,all,real,302,-0.03674344431353804,-0.053761075718312235,0.009826274540839347,-0.016996399498354055,-0.02202027559671284,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
10,non_target,halluc,302,-0.03533809946237321,-0.06032736319313359,0.009838204409683138,-0.016649388149917385,-0.025666972380851888,0.0014053448511648359,-0.006566287474821353,1.1929868843791117e-05,0.00034701134843666964,-0.0036466967841390467,nan,nan,nan,nan,nan
10,non_target,real,302,-0.03674344431353804,-0.053761075718312235,0.009826274540839347,-0.016996399498354055,-0.02202027559671284,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
100,all,halluc,304,-0.08205937054207069,-0.10049571421101489,0.011503508140723389,-0.02234821898911603,-0.030740104288684216,-0.00514143925243804,-0.008747266416674115,0.00023851892309224333,-0.001770100360301896,8.954635447368589e-05,nan,nan,nan,nan,nan
100,all,real,304,-0.07691793128963265,-0.09174844779434077,0.011264989217631145,-0.020578118628814136,-0.030829650643157902,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
100,non_target,halluc,304,-0.08205937054207069,-0.10049571421101489,0.011503508140723389,-0.02234821898911603,-0.030740104288684216,-0.00514143925243804,-0.008747266416674115,0.00023851892309224333,-0.001770100360301896,8.954635447368589e-05,nan,nan,nan,nan,nan
100,non_target,real,304,-0.07691793128963265,-0.09174844779434077,0.011264989217631145,-0.020578118628814136,-0.030829650643157902,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
101,all,halluc,307,0.11426694232317902,-0.025963868522405953,0.012072463492011208,-0.013296606267202539,-0.020685921087031506,0.0026164349702348932,-0.004711063766795531,0.0008321679613013111,0.0015250473579065584,-0.002626791462214964,nan,nan,nan,nan,nan
101,all,real,307,0.11165050735294413,-0.02125280475561042,0.011240295530709897,-0.014821653625109097,-0.018059129624816542,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
101,non_target,halluc,307,0.11426694232317902,-0.025963868522405953,0.012072463492011208,-0.013296606267202539,-0.020685921087031506,0.0026164349702348932,-0.004711063766795531,0.0008321679613013111,0.0015250473579065584,-0.002626791462214964,nan,nan,nan,nan,nan
101,non_target,real,307,0.11165050735294413,-0.02125280475561042,0.011240295530709897,-0.014821653625109097,-0.018059129624816542,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
102,all,halluc,304,-0.43148235485050934,-0.4303666205546275,0.06442938612225407,-0.13248950193938328,-0.15826542564078958,0.004410896566949152,0.0030367321497851707,0.0007601415054607624,-0.0016786640145312892,-0.0024081563125001038,nan,nan,nan,nan,nan
102,all,real,304,-0.4358932514174585,-0.43340335270441266,0.06366924461679331,-0.13081083792485199,-0.15585726932828947,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
102,non_target,halluc,304,-0.43148235485050934,-0.4303666205546275,0.06442938612225407,-0.13248950193938328,-0.15826542564078958,0.004410896566949152,0.0030367321497851707,0.0007601415054607624,-0.0016786640145312892,-0.0024081563125001038,nan,nan,nan,nan,nan
102,non_target,real,304,-0.4358932514174585,-0.43340335270441266,0.06366924461679331,-0.13081083792485199,-0.15585726932828947,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
103,all,halluc,295,-0.040849687194354334,-0.06448656421937127,0.009177299388582024,-0.017946603223755755,-0.018612301908369492,0.0013053067530871543,0.0005388949695052103,0.000393862860399493,-0.0007783663524991505,-0.0008387952041322144,nan,nan,nan,nan,nan
103,all,real,295,-0.04215499394744149,-0.06502545918887648,0.008783436528182531,-0.017168236871256605,-0.017773506704237278,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
103,non_target,halluc,295,-0.040849687194354334,-0.06448656421937127,0.009177299388582024,-0.017946603223755755,-0.018612301908369492,0.0013053067530871543,0.0005388949695052103,0.000393862860399493,-0.0007783663524991505,-0.0008387952041322144,nan,nan,nan,nan,nan
103,non_target,real,295,-0.04215499394744149,-0.06502545918887648,0.008783436528182531,-0.017168236871256605,-0.017773506704237278,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
104,all,halluc,312,0.010652451485609005,-0.04888312774279746,0.012209736008192614,-0.014730756145944707,-0.019821981062852562,0.001366596893711769,-0.006201180637984249,0.000619827866698423,-0.0007769714010697135,-0.00018684914955129084,nan,nan,nan,nan,nan
104,all,real,312,0.009285854591897236,-0.04268194710481321,0.01158990814149419,-0.013953784744874994,-0.01963513191330127,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
