amp,amp_dtype,avg_epoch_s,composite_econ_metric,composite_sep_metric,critic_dropout,critic_ensemble_seed_stride,critic_ensemble_size,critic_hidden_dim,critic_num_layers,critic_positive_activation,distance_forward_interval,distance_forward_max_graphs,early_stop_best_metric,early_stop_enabled,early_stop_epoch,early_stop_eval_every,early_stop_metric_name,early_stop_min_epochs,early_stop_patience,early_stop_rank_mode,early_stop_triggered,econ_ann_return_uplift,econ_avg_cost_bps_applied,econ_bh_ann_return,econ_bh_ann_vol,econ_bh_calmar,econ_bh_cvar_95_daily,econ_bh_hit_rate_daily,econ_bh_max_drawdown,econ_bh_max_drawdown_duration_days,econ_bh_sharpe,econ_bh_sortino,econ_bh_total_return,econ_calmar_uplift,econ_cvar_95_daily_delta,econ_eval_topk,econ_hit_rate_delta,econ_max_drawdown_delta,econ_max_drawdown_duration_delta,econ_num_days,econ_pre_rank_metric,econ_pre_rank_value,econ_regime_confidence_mean,econ_regime_confidence_temp,econ_regime_exposure_mean,econ_regime_gate_enabled,econ_regime_high_count,econ_regime_high_quantile,econ_regime_low_count,econ_regime_low_quantile,econ_regime_mid_count,econ_regime_min_confidence,econ_regime_neutral_exposure,econ_regime_threshold_quantile,econ_regime_threshold_window,econ_regime_thresholding_enabled,econ_regime_vol_window,econ_sharpe_uplift,econ_signal_polarity,econ_signal_polarity_effective,econ_signal_polarity_requested,econ_signal_quantile,econ_signal_window,econ_slippage_bps,econ_slippage_vol_lookback,econ_slippage_vol_scale,econ_sortino_uplift,econ_strategy_ann_return,econ_strategy_ann_vol,econ_strategy_calmar,econ_strategy_cvar_95_daily,econ_strategy_hit_rate_daily,econ_strategy_max_drawdown,econ_strategy_max_drawdown_duration_days,econ_strategy_sharpe,econ_strategy_sortino,econ_strategy_total_return,econ_ticker_effective,econ_ticker_requested,econ_ticker_rows,econ_ticker_source,econ_turnover_cost_bps,econ_turnover_mean_daily,econ_weight,epochs_run,epochs_target,eval_acc,eval_acc_agg,eval_acc_agg_max,eval_acc_agg_mean,eval_acc_agg_median,eval_acc_agg_min,eval_acc_agg_std,eval_auprc,eval_auprc_agg,eval_auprc_agg_max,eval_auprc_agg_mean,eval_auprc_agg_median,eval_auprc_agg_min,eval_auprc_agg_std,eval_auroc,eval_auroc_agg,eval_auroc_agg_max,eval_auroc_agg_mean,eval_auroc_agg_median,eval_auroc_agg_min,eval_auroc_agg_std,eval_brier,eval_brier_agg,eval_brier_agg_max,eval_brier_agg_mean,eval_brier_agg_median,eval_brier_agg_min,eval_brier_agg_std,eval_ece,eval_ece_agg,eval_ece_agg_max,eval_ece_agg_mean,eval_ece_agg_median,eval_ece_agg_min,eval_ece_agg_std,eval_g_neg,eval_g_pos,eval_neg_aggregate_count,eval_neg_aggregate_include_base,eval_neg_aggregate_mode,eval_neg_eval_topk,eval_neg_mode,eval_neg_mode_effective,eval_neg_modes_aggregated,eval_neg_modes_configured,eval_neg_modes_enabled,eval_neg_modes_reported,eval_neg_modes_skipped,eval_neg_topk_enabled,eval_objective,eval_sc_acc,eval_sc_gap,eval_sc_loss,eval_sc_neg,eval_sc_pos,eval_sc_view_mode,eval_sc_view_noise_std,eval_sep,eval_sep_agg,eval_sep_agg_max,eval_sep_agg_mean,eval_sep_agg_median,eval_sep_agg_min,eval_sep_agg_std,ff_block_size,ff_blockwise,fused_optimizer,goodness_target,goodness_temp,graphs_per_s,hall_attack_edge_drop_prob,hall_attack_hub_fraction,hall_attack_hub_weight_scale,hall_attack_noise_mult,hall_attack_sign_flip_prob,hall_attack_timeflip_prob,hall_lr,hall_node_fraction,hall_steps,layerwise_hall_corr,layerwise_hall_mean,layerwise_hall_std,layerwise_neg_mode,layerwise_noise_std,mode,neg_mix_end,neg_mode,neg_mode_effective,objective_track,primary_eval_metric,primary_eval_metric_name,primary_eval_metric_robust,primary_eval_metric_robust_name,rank_base_metric,rank_base_value,rank_gate_failed,rank_gate_floor,rank_gate_metric,rank_gate_reasons,rank_gate_value,rank_metric,rank_mode,rank_value,residual_edge_detach_features,residual_edge_hidden_dim,residual_edge_max_delta,residual_edge_weight_enabled,score,self_contrastive_ff_neg_mode,self_contrastive_ff_noise_std,self_contrastive_ff_target,self_contrastive_ff_weight,self_contrastive_max_graphs,sep_weight,sequence_critic_dropout,sequence_critic_enabled,sequence_critic_force_chrono,sequence_critic_hidden_dim,sequence_critic_num_layers,sequence_critic_positive_activation,sequence_critic_weight,speed_weight,successive_halving_enabled,successive_halving_pruned,successive_halving_pruned_stage,successive_halving_rank_metric,successive_halving_rank_value,successive_halving_stage,successive_halving_stage_epochs,successive_halving_stage_frac,successive_halving_target_epochs
True,float16,1.7714861240001483,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,2,1,,2,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5286166713718202,0.5286166713718202,0.5286166713718202,0.5286166713718202,0.5286166713718202,0.5286166713718202,0.0,0.520241314832797,0.520241314832797,0.520241314832797,0.520241314832797,0.520241314832797,0.520241314832797,0.0,0.28829266854570795,0.28829266854570795,0.28829266854570795,0.28829266854570795,0.28829266854570795,0.28829266854570795,0.0,0.18890348907194032,0.18890348907194032,0.18890348907194032,0.18890348907194032,0.18890348907194032,0.18890348907194032,0.0,3.006450096766154,3.038457194964091,1,1,mean,0,time_flip+noise,time_flip+noise,time_flip+noise,time_flip,0,,time_flip,1,ff,,,,,,,,0.03200709819793701,0.03200709819793701,0.03200709819793701,0.03200709819793701,0.03200709819793701,0.03200709819793701,0.0,2,True,True,2.2,0.052428800000000025,1594.1417557497975,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.6,time_flip+noise,time_flip+noise,critic,0.03200709819793701,eval_sep,0.03200709819793701,eval_sep_agg_min,eval_sep,0.03200709819793701,1,,,"successive_halving_pruned,eval_neg_not_evaluated,econ_not_evaluated",,eval_sep,finance_first,-999999.9679929018,True,32,0.25,False,0.02665917889895358,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,1,eval_sep,0.03200709819793701,1,2,0.3,5
True,float16,2.0102922863333483,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,4,1,,4,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,,,,,,,nan,,,,,,,nan,,,,,,,nan,,,,,,,0.25348512828350067,0.9999533692995707,1,1,mean,0,self_contrastive,self_contrastive,self_contrastive,time_flip,0,,time_flip,1,self_contrastive,1.0,0.74646824101607,0.7597485880057017,0.25348512828350067,0.9999533692995707,noise,0.05,0.74646824101607,0.74646824101607,0.74646824101607,0.74646824101607,0.74646824101607,0.74646824101607,0.0,2,True,True,2.2,0.052428800000000025,1432.746652660836,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.6,self_contrastive,self_contrastive,encoder,0.74646824101607,eval_sc_gap,0.74646824101607,eval_sc_gap,primary_eval_metric_robust,0.74646824101607,1,,,"successive_halving_pruned,eval_neg_not_evaluated,econ_not_evaluated",,primary_eval_metric_robust,finance_first,-999999.253531759,True,32,0.25,False,0.21133851220288744,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,2,primary_eval_metric_robust,0.74646824101607,2,4,0.65,5
True,float16,1.224450595999997,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,2,1,,2,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,2,2,0.5007082152974505,0.5007082152974505,0.5007082152974505,0.5007082152974505,0.5007082152974505,0.5007082152974505,0.0,0.5042560702300158,0.5042560702300158,0.5042560702300158,0.5042560702300158,0.5042560702300158,0.5042560702300158,0.0,0.5010934202184433,0.5010934202184433,0.5010934202184433,0.5010934202184433,0.5010934202184433,0.5010934202184433,0.0,0.28854979905880596,0.28854979905880596,0.28854979905880596,0.28854979905880596,0.28854979905880596,0.28854979905880596,0.0,0.17557821115747277,0.17557821115747277,0.17557821115747277,0.17557821115747277,0.17557821115747277,0.17557821115747277,0.0,2.9612286488215127,2.961792826652527,1,1,mean,0,time_flip+noise,time_flip+noise,time_flip+noise,time_flip,0,,time_flip,1,ff,,,,,,,,0.0005641778310141454,0.0005641778310141454,0.0005641778310141454,0.0005641778310141454,0.0005641778310141454,0.0005641778310141454,0.0,2,True,True,2.2,0.052428800000000025,2306.340500160128,0.2,0.2,0.5,3.0,0.2,0.5,0.035,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.6,time_flip+noise,time_flip+noise,critic,0.0005641778310141454,eval_sep,0.0005641778310141454,eval_sep_agg_min,eval_sep,0.0005641778310141454,1,0.01,eval_sep_agg_min,"successive_halving_pruned,eval_neg_not_evaluated,econ_not_evaluated,eval_sep_agg_min",0.0005641778310141454,eval_sep,finance_first,-999999.9994358221,True,32,0.25,False,0.08155532939011986,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,1,eval_sep,0.0005641778310141454,1,2,0.3,5
True,float16,1.9086609130001193,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,5,1,,5,2,objective,0,-0.22186606282588683,0.3459980678697513,0.30119691412727856,0.2633303422058212,1.0374576826471418,-0.035809911917099896,0.5191489361702127,-0.2903221202803711,165.0,1.1437987419310023,1.7636829728786543,1.0887584687806555,-0.5373523721635435,0.01653763432690442,1,-0.004255319148936176,0.13169382812190678,142.0,705.0,primary_eval_metric_robust,0.7757336646318436,0.49889236000266957,1.0,0.3554849909206053,1.0,212.0,0.7,212.0,0.3,281.0,0.05,0.2,0.6,252.0,1.0,21.0,-0.5515436673604016,high,high,high,0.6,252.0,0.5,21.0,0.2,-0.7963955959184367,0.07933085130139172,0.13394710270555052,0.5001053104835983,-0.019272277590195477,0.5148936170212766,-0.1586282921584643,307.0,0.5922550745706007,0.9672873769602176,0.23809484480869525,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,1.0,0.1900379461141961,0.7000000000000001,5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,,,,,,,nan,,,,,,,nan,,,,,,,nan,,,,,,,0.22421819468339285,0.9999518593152364,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,1,self_contrastive,1.0,0.7757336646318436,0.6621094942092896,0.22421819468339285,0.9999518593152364,noise,0.05,0.7757336646318436,0.7757336646318436,0.7757336646318436,0.7757336646318436,0.7757336646318436,0.7757336646318436,0.0,2,True,True,2.2,0.052428800000000025,1501.3848260641576,0.2,0.2,0.5,3.0,0.2,0.5,0.035,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.6,self_contrastive,self_contrastive,encoder,0.7757336646318436,eval_sc_gap,0.7757336646318436,eval_sc_gap,econ_sharpe_uplift,-0.5515436673604016,1,0.0,econ_sharpe_uplift,econ_sharpe_uplift,-0.5515436673604016,econ_sharpe_uplift,finance_first,-1000000.5515436673,True,32,0.25,False,0.9256283456634335,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,0,,,,3,5,1.0,5
True,float16,1.3379573496667945,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,4,1,,4,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,4,4,0.5014164305949008,0.5014164305949008,0.5014164305949008,0.5014164305949008,0.5014164305949008,0.5014164305949008,0.0,0.49144098264498054,0.49144098264498054,0.49144098264498054,0.49144098264498054,0.49144098264498054,0.49144098264498054,0.0,0.4982545402017511,0.4982545402017511,0.4982545402017511,0.4982545402017511,0.4982545402017511,0.4982545402017511,0.0,0.4139204125581303,0.4139204125581303,0.4139204125581303,0.4139204125581303,0.4139204125581303,0.4139204125581303,0.0,0.3978259758380266,0.3978259758380266,0.3978259758380266,0.3978259758380266,0.3978259758380266,0.3978259758380266,0.0,4.790635983149211,4.778746128082275,1,1,mean,0,time_flip+noise,time_flip+noise,time_flip+noise,time_flip,0,,time_flip,1,ff,,,,,,,,-0.011889855066935517,-0.011889855066935517,-0.011889855066935517,-0.011889855066935517,-0.011889855066935517,-0.011889855066935517,0.0,2,True,True,2.2,0.052428800000000025,2125.3357266604326,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.75,time_flip+noise,time_flip+noise,critic,-0.011889855066935517,eval_sep,-0.011889855066935517,eval_sep_agg_min,eval_sep,-0.011889855066935517,1,0.01,eval_sep_agg_min,"successive_halving_pruned,eval_neg_not_evaluated,econ_not_evaluated,eval_sep_agg_min",-0.011889855066935517,eval_sep,finance_first,-1000000.011889855,True,32,0.25,False,0.06190585766293951,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,2,eval_sep,-0.011889855066935517,2,4,0.65,5
True,float16,1.6818240279998804,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,5,1,,5,2,objective,0,-0.22114707528869793,0.33837562100843915,0.30119691412727856,0.2633303422058212,1.0374576826471418,-0.035809911917099896,0.5191489361702127,-0.2903221202803711,165.0,1.1437987419310023,1.7636829728786543,1.0887584687806555,-0.47018303476758694,0.01711078461953122,1,-0.007092198581560294,0.14920910009199662,20.0,705.0,primary_eval_metric_robust,0.7759601771831512,0.4971074861879641,1.0,0.3579318899687854,1.0,212.0,0.7,212.0,0.3,281.0,0.05,0.2,0.6,252.0,1.0,21.0,-0.4777471046990708,high,high,high,0.6,252.0,0.5,21.0,0.2,-0.7725873908505873,0.08004983883858063,0.12018563481243391,0.5672746478795548,-0.018699127297568677,0.5120567375886524,-0.14111302018837446,185.0,0.6660516372319315,0.991095582028067,0.24040355414041303,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,1.0,0.18602866228740422,0.7000000000000001,5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,,,,,,,nan,,,,,,,nan,,,,,,,nan,,,,,,,0.22398780783017477,0.999947985013326,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,1,self_contrastive,1.0,0.7759601771831512,0.6668708721796671,0.22398780783017477,0.999947985013326,noise,0.05,0.7759601771831512,0.7759601771831512,0.7759601771831512,0.7759601771831512,0.7759601771831512,0.7759601771831512,0.0,2,True,True,2.2,0.052428800000000025,1679.160822796909,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.75,self_contrastive,self_contrastive,encoder,0.7759601771831512,eval_sc_gap,0.7759601771831512,eval_sc_gap,econ_sharpe_uplift,-0.4777471046990708,1,0.0,econ_sharpe_uplift,econ_sharpe_uplift,-0.4777471046990708,econ_sharpe_uplift,finance_first,-1000000.4777471047,True,32,0.25,False,0.9415817166218489,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,0,,,,3,5,1.0,5
True,float16,1.2164742200000092,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,2,1,,2,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5178712634844345,0.5178712634844345,0.5178712634844345,0.5178712634844345,0.5178712634844345,0.5178712634844345,0.0,0.5193244468698087,0.5193244468698087,0.5193244468698087,0.5193244468698087,0.5193244468698087,0.5193244468698087,0.0,0.29777449801157646,0.29777449801157646,0.29777449801157646,0.29777449801157646,0.29777449801157646,0.29777449801157646,0.0,0.2123336338731504,0.2123336338731504,0.2123336338731504,0.2123336338731504,0.2123336338731504,0.2123336338731504,0.0,3.1351797183354697,3.158646543820699,1,1,mean,0,time_flip+noise,time_flip+noise,time_flip+noise,time_flip,0,,time_flip,1,ff,,,,,,,,0.023466825485229492,0.023466825485229492,0.023466825485229492,0.023466825485229492,0.023466825485229492,0.023466825485229492,0.0,2,True,True,2.2,0.052428800000000025,2321.463088630007,0.2,0.2,0.5,3.0,0.2,0.5,0.035,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.75,time_flip+noise,time_flip+noise,critic,0.023466825485229492,eval_sep,0.023466825485229492,eval_sep_agg_min,eval_sep,0.023466825485229492,1,,,"successive_halving_pruned,eval_neg_not_evaluated,econ_not_evaluated",,eval_sep,finance_first,-999999.9765331745,True,32,0.25,False,0.08928952343690624,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,1,eval_sep,0.023466825485229492,1,2,0.3,5
True,float16,1.8030938352500243,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,5,1,,5,2,objective,0,-0.18467305186651228,0.3323988685948472,0.30119691412727856,0.2633303422058212,1.0374576826471418,-0.035809911917099896,0.5191489361702127,-0.2903221202803711,165.0,1.1437987419310023,1.7636829728786543,1.0887584687806555,-0.22784444445629515,0.01668668681452822,1,-0.004255319148936176,0.1463967781983304,118.0,705.0,primary_eval_metric_robust,0.7748504256208737,0.49820789889468925,1.0,0.34819299183056,1.0,212.0,0.7,212.0,0.3,281.0,0.05,0.2,0.6,252.0,1.0,21.0,-0.2728333335233504,high,high,high,0.6,252.0,0.5,21.0,0.2,-0.32610235084086847,0.11652386226076628,0.1337870151167103,0.8096132381908466,-0.019123225102571677,0.5148936170212766,-0.14392534208204066,283.0,0.8709654084076519,1.4375806220377858,0.3611828052229933,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,1.0,0.18268037199383333,0.7000000000000001,5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,,,,,,,nan,,,,,,,nan,,,,,,,nan,,,,,,,0.22510029127200445,0.9999507168928782,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,1,self_contrastive,1.0,0.7748504256208737,0.6648078660170237,0.22510029127200445,0.9999507168928782,noise,0.05,0.7748504256208737,0.7748504256208737,0.7748504256208737,0.7748504256208737,0.7748504256208737,0.7748504256208737,0.0,2,True,True,2.2,0.052428800000000025,1587.9730239108337,0.2,0.2,0.5,3.0,0.2,0.5,0.035,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.75,self_contrastive,self_contrastive,encoder,0.7748504256208737,eval_sc_gap,0.7748504256208737,eval_sc_gap,econ_sharpe_uplift,-0.2728333335233504,1,0.0,econ_sharpe_uplift,econ_sharpe_uplift,-0.2728333335233504,econ_sharpe_uplift,finance_first,-1000000.2728333335,True,32,0.25,False,0.9331219351216428,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,0,,,,3,5,1.0,5
True,float16,1.2162339256667565,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,4,1,,4,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,4,4,0.5198300283286119,0.5198300283286119,0.5198300283286119,0.5198300283286119,0.5198300283286119,0.5198300283286119,0.0,0.5490878126629439,0.5490878126629439,0.5490878126629439,0.5490878126629439,0.5490878126629439,0.5490878126629439,0.0,0.5560292595237905,0.5560292595237905,0.5560292595237905,0.5560292595237905,0.5560292595237905,0.5560292595237905,0.0,0.31521279155649296,0.31521279155649296,0.31521279155649296,0.31521279155649296,0.31521279155649296,0.31521279155649296,0.0,0.24457721212869432,0.24457721212869432,0.24457721212869432,0.24457721212869432,0.24457721212869432,0.24457721212869432,0.0,3.4587128162384033,3.6380541721979776,1,1,mean,0,time_flip+noise,time_flip+noise,time_flip+noise,time_flip,0,,time_flip,1,ff,,,,,,,,0.17934135595957423,0.17934135595957423,0.17934135595957423,0.17934135595957423,0.17934135595957423,0.17934135595957423,0.0,2,True,True,2.3,0.052428800000000025,2322.0022470884646,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.6,time_flip+noise,time_flip+noise,critic,0.17934135595957423,eval_sep,0.17934135595957423,eval_sep_agg_min,eval_sep,0.17934135595957423,1,,,"successive_halving_pruned,eval_neg_not_evaluated,econ_not_evaluated",,eval_sep,finance_first,-999999.8206586441,True,32,0.25,False,0.13277668091694073,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,2,eval_sep,0.17934135595957423,2,4,0.65,5
True,float16,1.845373810666615,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,4,1,,4,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,,,,,,,nan,,,,,,,nan,,,,,,,nan,,,,,,,0.2525516723593076,0.9999542136987051,1,1,mean,0,self_contrastive,self_contrastive,self_contrastive,time_flip,0,,time_flip,1,self_contrastive,1.0,0.7474025413393974,0.7564071218172709,0.2525516723593076,0.9999542136987051,noise,0.05,0.7474025413393974,0.7474025413393974,0.7474025413393974,0.7474025413393974,0.7474025413393974,0.7474025413393974,0.0,2,True,True,2.3,0.052428800000000025,1549.8722776517714,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.6,self_contrastive,self_contrastive,encoder,0.7474025413393974,eval_sc_gap,0.7474025413393974,eval_sc_gap,primary_eval_metric_robust,0.7474025413393974,1,,,"successive_halving_pruned,eval_neg_not_evaluated,econ_not_evaluated",,primary_eval_metric_robust,finance_first,-999999.2525974587,True,32,0.25,False,0.2220679503550392,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,2,primary_eval_metric_robust,0.7474025413393974,2,4,0.65,5
