amp,amp_dtype,avg_epoch_s,composite_econ_metric,composite_sep_metric,critic_dropout,critic_ensemble_seed_stride,critic_ensemble_size,critic_hidden_dim,critic_num_layers,critic_positive_activation,distance_forward_interval,distance_forward_max_graphs,early_stop_best_metric,early_stop_enabled,early_stop_epoch,early_stop_eval_every,early_stop_metric_name,early_stop_min_epochs,early_stop_patience,early_stop_rank_mode,early_stop_triggered,econ_ann_return_uplift,econ_avg_cost_bps_applied,econ_bh_ann_return,econ_bh_ann_vol,econ_bh_calmar,econ_bh_cvar_95_daily,econ_bh_hit_rate_daily,econ_bh_max_drawdown,econ_bh_max_drawdown_duration_days,econ_bh_sharpe,econ_bh_sortino,econ_bh_total_return,econ_calmar_uplift,econ_cvar_95_daily_delta,econ_eval_topk,econ_hit_rate_delta,econ_max_drawdown_delta,econ_max_drawdown_duration_delta,econ_num_days,econ_pre_rank_metric,econ_pre_rank_value,econ_regime_confidence_mean,econ_regime_confidence_temp,econ_regime_exposure_mean,econ_regime_gate_enabled,econ_regime_high_count,econ_regime_high_quantile,econ_regime_low_count,econ_regime_low_quantile,econ_regime_mid_count,econ_regime_min_confidence,econ_regime_neutral_exposure,econ_regime_threshold_quantile,econ_regime_threshold_window,econ_regime_thresholding_enabled,econ_regime_vol_window,econ_sharpe_uplift,econ_signal_polarity,econ_signal_polarity_effective,econ_signal_polarity_requested,econ_signal_quantile,econ_signal_window,econ_slippage_bps,econ_slippage_vol_lookback,econ_slippage_vol_scale,econ_sortino_uplift,econ_strategy_ann_return,econ_strategy_ann_vol,econ_strategy_calmar,econ_strategy_cvar_95_daily,econ_strategy_hit_rate_daily,econ_strategy_max_drawdown,econ_strategy_max_drawdown_duration_days,econ_strategy_sharpe,econ_strategy_sortino,econ_strategy_total_return,econ_ticker_effective,econ_ticker_requested,econ_ticker_rows,econ_ticker_source,econ_turnover_cost_bps,econ_turnover_mean_daily,econ_weight,epochs_run,epochs_target,eval_acc,eval_acc_agg,eval_acc_agg_max,eval_acc_agg_mean,eval_acc_agg_median,eval_acc_agg_min,eval_acc_agg_std,eval_auprc,eval_auroc,eval_brier,eval_ece,eval_g_neg,eval_g_pos,eval_neg_aggregate_count,eval_neg_aggregate_include_base,eval_neg_aggregate_mode,eval_neg_eval_topk,eval_neg_mode,eval_neg_mode_effective,eval_neg_modes_aggregated,eval_neg_modes_configured,eval_neg_modes_enabled,eval_neg_modes_reported,eval_neg_modes_skipped,eval_neg_topk_enabled,eval_objective,eval_sc_acc,eval_sc_gap,eval_sc_loss,eval_sc_neg,eval_sc_pos,eval_sc_view_mode,eval_sc_view_noise_std,eval_sep,eval_sep_agg,eval_sep_agg_max,eval_sep_agg_mean,eval_sep_agg_median,eval_sep_agg_min,eval_sep_agg_std,ff_block_size,ff_blockwise,fused_optimizer,goodness_target,goodness_temp,graphs_per_s,hall_attack_edge_drop_prob,hall_attack_hub_fraction,hall_attack_hub_weight_scale,hall_attack_noise_mult,hall_attack_sign_flip_prob,hall_attack_timeflip_prob,hall_lr,hall_node_fraction,hall_steps,layerwise_hall_corr,layerwise_hall_mean,layerwise_hall_std,layerwise_neg_mode,layerwise_noise_std,mode,neg_mix_end,neg_mode,neg_mode_effective,objective_track,primary_eval_metric,primary_eval_metric_name,primary_eval_metric_robust,primary_eval_metric_robust_name,rank_base_metric,rank_base_value,rank_gate_failed,rank_gate_floor,rank_gate_metric,rank_gate_reasons,rank_gate_value,rank_metric,rank_mode,rank_value,residual_edge_detach_features,residual_edge_hidden_dim,residual_edge_max_delta,residual_edge_weight_enabled,score,self_contrastive_ff_neg_mode,self_contrastive_ff_noise_std,self_contrastive_ff_target,self_contrastive_ff_weight,self_contrastive_max_graphs,sep_weight,sequence_critic_dropout,sequence_critic_enabled,sequence_critic_force_chrono,sequence_critic_hidden_dim,sequence_critic_num_layers,sequence_critic_positive_activation,sequence_critic_weight,speed_weight,successive_halving_enabled,successive_halving_pruned,successive_halving_pruned_stage,successive_halving_rank_metric,successive_halving_rank_value,successive_halving_stage,successive_halving_stage_epochs,successive_halving_stage_frac,successive_halving_target_epochs
True,float16,1.4466072254999744,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,3,1,,3,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,0.7870323161284128,0.9999923308690389,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,0,self_contrastive,1.0,0.2129600147406261,3.413564403851827,0.7870323161284128,0.9999923308690389,noise,0.05,0.2129600147406261,0.2129600147406261,0.2129600147406261,0.2129600147406261,0.2129600147406261,0.2129600147406261,0.0,2,True,True,2.2,0.052428800000000025,2005.2077665674328,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.6,mix,mix,encoder,0.2129600147406261,eval_sc_gap,0.2129600147406261,eval_sc_gap,primary_eval_metric_robust,0.2129600147406261,1,,,"successive_halving_pruned,econ_not_evaluated",,primary_eval_metric_robust,finance_first,-999999.7870399853,True,32,0.25,False,0.0775296238718243,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,1,primary_eval_metric_robust,0.2129600147406261,1,3,0.3,10
True,float16,1.8316329028333105,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,7,1,,7,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,7,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,0.1866335024436315,0.9999422629674276,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,0,self_contrastive,1.0,0.8133087605237961,0.5460139513015747,0.1866335024436315,0.9999422629674276,noise,0.05,0.8133087605237961,0.8133087605237961,0.8133087605237961,0.8133087605237961,0.8133087605237961,0.8133087605237961,0.0,2,True,True,2.2,0.052428800000000025,1559.7032943592221,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.6,self_contrastive,self_contrastive,encoder,0.8133087605237961,eval_sc_gap,0.8133087605237961,eval_sc_gap,primary_eval_metric_robust,0.8133087605237961,1,,,"successive_halving_pruned,econ_not_evaluated",,primary_eval_metric_robust,finance_first,-999999.1866912395,True,32,0.25,False,0.20734311675011124,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,2,primary_eval_metric_robust,0.8133087605237961,2,7,0.65,10
True,float16,1.2012143894999099,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,3,1,,3,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,0.7913535535335541,0.9999923904736837,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,0,self_contrastive,1.0,0.20863883694012963,3.4398821194966636,0.7913535535335541,0.9999923904736837,noise,0.05,0.20863883694012963,0.20863883694012963,0.20863883694012963,0.20863883694012963,0.20863883694012963,0.20863883694012963,0.0,2,True,True,2.2,0.052428800000000025,2351.0370838269146,0.2,0.2,0.5,3.0,0.2,0.5,0.035,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.6,mix,mix,encoder,0.20863883694012963,eval_sc_gap,0.20863883694012963,eval_sc_gap,primary_eval_metric_robust,0.20863883694012963,1,,,"successive_halving_pruned,econ_not_evaluated",,primary_eval_metric_robust,finance_first,-999999.791361163,True,32,0.25,False,0.10994431025234719,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,1,primary_eval_metric_robust,0.20863883694012963,1,3,0.3,10
True,float16,1.802873656666634,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,10,1,,10,2,objective,0,-0.18058518212397723,0.340332796296004,0.30119691412727856,0.2633303422058212,1.0374576826471418,-0.035809911917099896,0.5191489361702127,-0.2903221202803711,165.0,1.1437987419310023,1.7636829728786543,1.0887584687806555,-0.22638321654444904,0.016376443330588478,1,-0.0014184397163120588,0.14161600629942583,139.0,705.0,primary_eval_metric_robust,0.865563414990902,0.49743600022894574,1.0,0.36307429793953483,1.0,212.0,0.7,212.0,0.3,281.0,0.05,0.2,0.6,252.0,1.0,21.0,-0.2676576837061737,high,high,high,0.6,252.0,0.5,21.0,0.2,-0.2954024661966299,0.12061173200330133,0.13766245842613037,0.8110744661026927,-0.019433468586511418,0.5177304964539007,-0.14870611398094524,304.0,0.8761410582248286,1.4682805066820244,0.3751710193168598,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,1.0,0.18628552071036647,0.7000000000000001,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,0.13436462233463922,0.9999280373255411,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,0,self_contrastive,1.0,0.865563414990902,0.4211069693168004,0.13436462233463922,0.9999280373255411,noise,0.05,0.865563414990902,0.865563414990902,0.865563414990902,0.865563414990902,0.865563414990902,0.865563414990902,0.0,2,True,True,2.2,0.052428800000000025,1578.8959383472618,0.2,0.2,0.5,3.0,0.2,0.5,0.035,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.6,self_contrastive,self_contrastive,encoder,0.865563414990902,eval_sc_gap,0.865563414990902,eval_sc_gap,econ_sharpe_uplift,-0.2676576837061737,1,0.0,econ_sharpe_uplift,econ_sharpe_uplift,-0.2676576837061737,econ_sharpe_uplift,finance_first,-1000000.2676576837,True,32,0.25,False,0.924283705673767,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,0,,,,3,10,1.0,10
True,float16,1.2043791104999855,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,3,1,,3,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,0.8052734732627869,0.9999931454658508,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,0,self_contrastive,1.0,0.19471967220306396,3.5235565503438315,0.8052734732627869,0.9999931454658508,noise,0.05,0.19471967220306396,0.19471967220306396,0.19471967220306396,0.19471967220306396,0.19471967220306396,0.19471967220306396,0.0,2,True,True,2.2,0.052428800000000025,2344.847704642483,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.75,mix,mix,encoder,0.19471967220306396,eval_sc_gap,0.19471967220306396,eval_sc_gap,primary_eval_metric_robust,0.19471967220306396,1,,,"successive_halving_pruned,econ_not_evaluated",,primary_eval_metric_robust,finance_first,-999999.8052803278,True,32,0.25,False,0.10532674903039105,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,1,primary_eval_metric_robust,0.19471967220306396,1,3,0.3,10
True,float16,1.779835992666752,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,10,1,,10,2,objective,0,-0.20741313060349786,0.29869941546161527,0.30119691412727856,0.2633303422058212,1.0374576826471418,-0.035809911917099896,0.5191489361702127,-0.2903221202803711,165.0,1.1437987419310023,1.7636829728786543,1.0887584687806555,-0.29958142901011975,0.016756718474463993,1,-0.004255319148936176,0.1632225110145672,30.0,705.0,primary_eval_metric_robust,0.8657939347128073,0.49767959044399684,1.0,0.36476149584022793,1.0,212.0,0.7,212.0,0.3,281.0,0.05,0.2,0.6,252.0,1.0,21.0,-0.3841192579598621,high,high,high,0.6,252.0,0.5,21.0,0.2,-0.6167772828473279,0.0937837835237807,0.12345177868110427,0.737876253637022,-0.019053193442635903,0.5148936170212766,-0.12709960926580388,195.0,0.7596794839711402,1.1469056900313264,0.28503646193656373,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,1.0,0.16424431149699792,0.7000000000000001,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,0.1341305561363697,0.999924490849177,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,0,self_contrastive,1.0,0.8657939347128073,0.42014991740385693,0.1341305561363697,0.999924490849177,noise,0.05,0.8657939347128073,0.8657939347128073,0.8657939347128073,0.8657939347128073,0.8657939347128073,0.8657939347128073,0.0,2,True,True,2.2,0.052428800000000025,1603.7846406966733,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.75,self_contrastive,self_contrastive,encoder,0.8657939347128073,eval_sc_gap,0.8657939347128073,eval_sc_gap,econ_sharpe_uplift,-0.3841192579598621,1,0.0,econ_sharpe_uplift,econ_sharpe_uplift,-0.3841192579598621,econ_sharpe_uplift,finance_first,-1000000.3841192579,True,32,0.25,False,0.9267726526007012,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,0,,,,3,10,1.0,10
True,float16,1.4786047180000423,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,3,1,,3,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,0.7830974360307058,0.9999920924504598,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,0,self_contrastive,1.0,0.21689465641975403,3.3893010218938193,0.7830974360307058,0.9999920924504598,noise,0.05,0.21689465641975403,0.21689465641975403,0.21689465641975403,0.21689465641975403,0.21689465641975403,0.21689465641975403,0.0,2,True,True,2.2,0.052428800000000025,1981.0128244020198,0.2,0.2,0.5,3.0,0.2,0.5,0.035,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.75,mix,mix,encoder,0.21689465641975403,eval_sc_gap,0.21689465641975403,eval_sc_gap,primary_eval_metric_robust,0.21689465641975403,1,,,"successive_halving_pruned,econ_not_evaluated",,primary_eval_metric_robust,finance_first,-999999.7831053436,True,32,0.25,False,0.07630960400562706,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,1,primary_eval_metric_robust,0.21689465641975403,1,3,0.3,10
True,float16,1.7746617013333688,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,10,1,,10,2,objective,0,-0.1129975865522661,0.32317730849550946,0.30119691412727856,0.2633303422058212,1.0374576826471418,-0.035809911917099896,0.5191489361702127,-0.2903221202803711,165.0,1.1437987419310023,1.7636829728786543,1.0887584687806555,0.5395786959115403,0.016940284472770222,1,-0.0028368794326241176,0.17098477959897507,10.0,705.0,primary_eval_metric_robust,0.8634543344378471,0.49835492121648056,1.0,0.35125583790743925,1.0,212.0,0.7,212.0,0.3,281.0,0.05,0.2,0.6,252.0,1.0,21.0,0.2432654820341551,high,high,high,0.6,252.0,0.5,21.0,0.2,0.5940205315460081,0.18819932757501245,0.13568176896453496,1.577036378558682,-0.018869627444329674,0.5163120567375886,-0.11933734068139601,175.0,1.3870642239651574,2.3577035044246624,0.6199877797159892,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,1.0,0.17794136127178628,0.7000000000000001,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,0.13647164652744928,0.9999259809652964,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,0,self_contrastive,1.0,0.8634543344378471,0.4256316125392914,0.13647164652744928,0.9999259809652964,noise,0.05,0.8634543344378471,0.8634543344378471,0.8634543344378471,0.8634543344378471,0.8634543344378471,0.8634543344378471,0.0,2,True,True,2.2,0.052428800000000025,1608.2237375007346,0.2,0.2,0.5,3.0,0.2,0.5,0.035,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.75,self_contrastive,self_contrastive,encoder,0.8634543344378471,eval_sc_gap,0.8634543344378471,eval_sc_gap,econ_sharpe_uplift,0.2432654820341551,0,,,,,econ_sharpe_uplift,finance_first,0.2432654820341551,True,32,0.25,False,0.9265302905528688,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,0,,,,3,10,1.0,10
True,float16,1.4300980144998903,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,3,1,,3,2,objective,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7,,0.3,,,,0.6,252,True,21,,high,,,,,,,,,,,,,,,,,,,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,,,0.7000000000000001,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,0.8192079961299896,0.999993234872818,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,0,self_contrastive,1.0,0.18078523874282837,3.6079790194829306,0.8192079961299896,0.999993234872818,noise,0.05,0.18078523874282837,0.18078523874282837,0.18078523874282837,0.18078523874282837,0.18078523874282837,0.18078523874282837,0.0,2,True,True,2.3,0.052428800000000025,2021.0848427325275,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.6,mix,mix,encoder,0.18078523874282837,eval_sc_gap,0.18078523874282837,eval_sc_gap,primary_eval_metric_robust,0.18078523874282837,1,,,"successive_halving_pruned,econ_not_evaluated",,primary_eval_metric_robust,finance_first,-999999.8192147613,True,32,0.25,False,0.06979388223143221,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,1,1,primary_eval_metric_robust,0.18078523874282837,1,3,0.3,10
True,float16,1.796140617333347,econ_sharpe_uplift,eval_sep_agg_mean,0.1,1009,1,128,2,softplus,2,64,nan,0,10,1,,10,2,objective,0,-0.2119991864776325,0.31761805123345244,0.30119691412727856,0.2633303422058212,1.0374576826471418,-0.035809911917099896,0.5191489361702127,-0.2903221202803711,165.0,1.1437987419310023,1.7636829728786543,1.0887584687806555,-0.4781568136933926,0.01683287652152308,1,-0.0028368794326241176,0.13084136027993887,132.0,705.0,primary_eval_metric_robust,0.8634054884314537,0.4976857546118298,1.0,0.36002207652958346,1.0,212.0,0.7,212.0,0.3,281.0,0.05,0.2,0.6,252.0,1.0,21.0,-0.41210480268450733,high,high,high,0.6,252.0,0.5,21.0,0.2,-0.658469160753991,0.08919772764964606,0.12190578992837182,0.5593008689537492,-0.018977035395576818,0.5163120567375886,-0.1594807600004322,297.0,0.731693939246495,1.1052138121246633,0.2700197806586886,BWC,"SPY,MDY,BWC,AAON,AUTO",6546.0,requested_priority,1.0,0.17394904328676106,0.7000000000000001,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,0.13652278731266657,0.9999282757441202,1,1,mean,1,self_contrastive,self_contrastive,self_contrastive,time_flip,1,,time_flip,0,self_contrastive,1.0,0.8634054884314537,0.4221055457989375,0.13652278731266657,0.9999282757441202,noise,0.05,0.8634054884314537,0.8634054884314537,0.8634054884314537,0.8634054884314537,0.8634054884314537,0.8634054884314537,0.0,2,True,True,2.3,0.052428800000000025,1586.114558535995,0.2,0.2,0.5,3.0,0.2,0.5,0.025,0.35,3,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.6,self_contrastive,self_contrastive,encoder,0.8634054884314537,eval_sc_gap,0.8634054884314537,eval_sc_gap,econ_sharpe_uplift,-0.41210480268450733,1,0.0,econ_sharpe_uplift,econ_sharpe_uplift,-0.41210480268450733,econ_sharpe_uplift,finance_first,-1000000.4121048027,True,32,0.25,False,0.9243637527026621,shuffle+noise,0.05,2.697421237500001,0.1,96,0.22000000000000003,0.0,False,True,128,1,softplus,0.0,0.08000000000000002,1,0,,,,3,10,1.0,10
