epoch,loss,g_pos,g_neg,hallucinate_ratio,gate_ratio,hall_hardness,hall_close_ratio,energy_penalty,risk_loss,portfolio_loss,dist_forward_loss,goodness_target_used,neg_mix_end_used,neg_gate_margin_used,hall_lr_used,hall_steps_used,hall_node_fraction_used,rank_aux_loss,time_neg_gen_s,time_hallucinate_s,time_forward_pos_s,time_forward_neg_s,time_loss_terms_s,time_optimizer_s
1,2.111160,0.998465,0.557495,0.0000,0.0000,0.000000,0.0000,0.000000,0.316985,0.000000,0.003900,2.300000,0.750000,0.650000,0.020000,1,0.200000,0.744535,0.000235,0.000000,0.035767,0.035767,0.019917,0.132499
2,1.578103,0.997210,0.340367,0.0000,0.0000,0.000000,0.0000,0.000000,0.314992,0.000000,0.010347,2.300000,0.750000,0.650000,0.020000,1,0.200000,0.744088,0.000173,0.000000,0.000681,0.000681,0.016339,0.017263
3,1.446388,0.995884,0.279489,0.0000,0.0000,0.000000,0.0000,0.000000,0.313715,0.000000,0.021333,2.300000,0.750000,0.650000,0.020000,1,0.200000,0.743976,0.000175,0.000000,0.000671,0.000671,0.016671,0.017395
4,1.366780,0.996268,0.256356,0.0000,0.0000,0.000000,0.0000,0.000000,0.311564,0.000000,0.018770,2.300000,0.750000,0.650000,0.020000,1,0.200000,0.743369,0.000174,0.000000,0.000669,0.000669,0.016380,0.017200
5,1.288352,0.996408,0.232823,0.0000,0.0000,0.000000,0.0000,0.000000,0.311613,0.000000,0.019417,2.300000,0.750000,0.650000,0.020000,1,0.200000,0.743105,0.000200,0.000000,0.000671,0.000671,0.016621,0.017275
6,1.223039,0.996303,0.213850,0.0000,0.0000,0.000000,0.0000,0.000000,0.310384,0.000000,0.022703,2.300000,0.750000,0.650000,0.020500,1,0.205000,0.742536,0.000180,0.000000,0.000695,0.000695,0.016320,0.017361
7,1.183798,0.996198,0.201242,0.0000,0.0000,0.000000,0.0000,0.000000,0.311073,0.000000,0.023836,2.300000,0.750000,0.650000,0.021000,1,0.210000,0.741946,0.000179,0.000000,0.000655,0.000655,0.016561,0.017259
8,1.130629,0.996164,0.184021,0.0000,0.0000,0.000000,0.0000,0.000000,0.310632,0.000000,0.026460,2.300000,0.750000,0.650000,0.021500,1,0.215000,0.741349,0.000180,0.000000,0.000673,0.000673,0.016653,0.017260
9,1.090062,0.995954,0.169564,0.0000,0.0000,0.000000,0.0000,0.000000,0.311225,0.000000,0.031744,2.300000,0.750000,0.650000,0.022000,1,0.220000,0.741024,0.000175,0.000000,0.000753,0.000753,0.016836,0.017440
10,1.040329,0.995919,0.154184,0.0000,0.0000,0.000000,0.0000,0.000000,0.311812,0.000000,0.031610,2.300000,0.750000,0.650000,0.022500,2,0.225000,0.739617,0.000207,0.000000,0.000989,0.000989,0.017143,0.018422
11,0.990149,0.995605,0.142517,0.0000,0.0000,0.000000,0.0000,0.000000,0.310990,0.000000,0.037249,2.300000,0.750000,0.650000,0.023000,2,0.230000,0.739366,0.000363,0.000000,0.001505,0.001505,0.021269,0.018333
12,0.937708,0.995292,0.127790,0.0000,0.0000,0.000000,0.0000,0.000000,0.311588,0.000000,0.042275,2.300000,0.750000,0.650000,0.023500,2,0.235000,0.736863,0.000249,0.000000,0.001802,0.001802,0.022350,0.018823
13,0.880177,0.995187,0.109903,0.0000,0.0000,0.000000,0.0000,0.000000,0.310592,0.000000,0.045567,2.300000,0.750000,0.650000,0.024000,2,0.240000,0.735609,0.000171,0.000000,0.000670,0.000670,0.016747,0.017389
14,0.827020,0.994280,0.099509,0.0000,0.0000,0.000000,0.0000,0.000000,0.310845,0.000000,0.049867,2.300000,0.750000,0.650000,0.024500,2,0.245000,0.734926,0.000176,0.000000,0.000664,0.000664,0.016249,0.017142
15,0.773971,0.993687,0.085624,0.0000,0.0000,0.000000,0.0000,0.000000,0.311251,0.000000,0.054247,2.300000,0.750000,0.650000,0.025000,2,0.250000,0.733418,0.000191,0.000000,0.000722,0.000722,0.016983,0.017441
16,0.726711,0.992955,0.071503,0.0000,0.0000,0.000000,0.0000,0.000000,0.309653,0.000000,0.057464,2.300000,0.750000,0.650000,0.025500,2,0.255000,0.730942,0.000179,0.000000,0.000690,0.000690,0.016303,0.017125
17,0.672000,0.991734,0.062095,0.0000,0.0000,0.000000,0.0000,0.000000,0.310954,0.000000,0.060799,2.300000,0.750000,0.650000,0.026000,2,0.260000,0.727667,0.000180,0.000000,0.000667,0.000667,0.016627,0.017413
18,0.625741,0.991002,0.054502,0.0000,0.0000,0.000000,0.0000,0.000000,0.311377,0.000000,0.064670,2.300000,0.750000,0.650000,0.026500,2,0.265000,0.726145,0.000178,0.000000,0.000661,0.000661,0.016768,0.017405
19,0.585938,0.989362,0.049040,0.0000,0.0000,0.000000,0.0000,0.000000,0.310212,0.000000,0.065810,2.300000,0.750000,0.650000,0.027000,2,0.270000,0.721934,0.000176,0.000000,0.000669,0.000669,0.016707,0.017255
20,0.566093,0.987898,0.046914,0.0000,0.0000,0.000000,0.0000,0.000000,0.310138,0.000000,0.067453,2.300000,0.750000,0.650000,0.027500,2,0.275000,0.716218,0.000181,0.000000,0.000670,0.000670,0.016707,0.017295
21,0.540338,0.985875,0.044388,0.0000,0.0000,0.000000,0.0000,0.000000,0.310556,0.000000,0.068792,2.300000,0.750000,0.650000,0.028000,3,0.280000,0.707707,0.000174,0.000000,0.000652,0.000652,0.016528,0.017360
