scenario_id,graph_index,date,ticker,constraint_mode,constraint_tolerance,target_drop,real_cum_return,hall_cum_return,hall_minus_target,abs_error,hit
0,3290,2025-02-21,AA,exact,0.01,-0.1,-0.07898259162902832,-0.10574638843536377,-0.005746388435363764,0.005746388435363764,1
1,2996,2023-12-15,AA,exact,0.01,-0.1,0.19615387916564941,-0.17580443620681763,-0.07580443620681762,0.07580443620681762,0
2,2882,2023-07-06,AA,exact,0.01,-0.1,-0.058176517486572266,-0.08448970317840576,0.015510296821594244,0.015510296821594244,0
3,3037,2024-02-15,AA,exact,0.01,-0.1,0.024691343307495117,-0.11009383201599121,-0.010093832015991205,0.010093832015991205,0
4,2972,2023-11-10,AA,exact,0.01,-0.1,-0.06902730464935303,-0.0977637767791748,0.002236223220825201,0.002236223220825201,1
5,3057,2024-03-15,AA,exact,0.01,-0.1,0.11538410186767578,-0.15707308053970337,-0.057073080539703364,0.057073080539703364,0
6,2743,2022-12-13,AA,exact,0.01,-0.1,-0.04251343011856079,-0.08077239990234375,0.019227600097656256,0.019227600097656256,0
7,2689,2022-09-27,AA,exact,0.01,-0.1,-0.3747747540473938,-0.01743537187576294,0.08256462812423707,0.08256462812423707,0
8,3480,2025-11-21,AA,exact,0.01,-0.1,-0.07564806938171387,-0.10644131898880005,-0.006441318988800043,0.006441318988800043,1
9,2985,2023-11-30,AA,exact,0.01,-0.1,0.07311224937438965,-0.14173924922943115,-0.04173924922943115,0.04173924922943115,0
10,2613,2022-06-08,AA,exact,0.01,-0.1,0.11724483966827393,-0.16390067338943481,-0.06390067338943481,0.06390067338943481,0
11,3352,2025-05-21,AA,exact,0.01,-0.1,0.13239336013793945,-0.1552518606185913,-0.0552518606185913,0.0552518606185913,0
12,2870,2023-06-16,AA,exact,0.01,-0.1,-0.03232818841934204,-0.0912625789642334,0.008737421035766607,0.008737421035766607,1
13,2986,2023-12-01,AA,exact,0.01,-0.1,0.06405830383300781,-0.1416912078857422,-0.04169120788574218,0.04169120788574218,0
14,3216,2024-10-31,AA,exact,0.01,-0.1,0.05284380912780762,-0.14236807823181152,-0.04236807823181152,0.04236807823181152,0
15,3252,2024-12-23,AA,exact,0.01,-0.1,-0.1515284776687622,-0.11769741773605347,-0.01769741773605346,0.01769741773605346,0
16,3084,2024-04-24,AA,exact,0.01,-0.1,0.14249515533447266,-0.11431586742401123,-0.014315867424011225,0.014315867424011225,0
17,3370,2025-06-17,AA,exact,0.01,-0.1,-0.020129621028900146,-0.12564796209335327,-0.025647962093353266,0.025647962093353266,0
