epoch,loss,g_pos,g_neg
1,1.409554,0.687987,0.682200
2,1.380868,0.869006,0.847503
3,1.363070,0.919069,0.866031
4,1.332631,0.909740,0.787679
5,1.286746,0.933308,0.709006
6,1.222502,0.993126,0.623993
7,1.140850,1.083642,0.524078
8,1.060685,1.195564,0.443712
9,0.989190,1.297834,0.363747
10,0.926831,1.409281,0.311777
11,0.871661,1.534855,0.286836
12,0.821815,1.634485,0.240685
13,0.777108,1.744115,0.213403
14,0.736571,1.852426,0.188915
15,0.698851,1.967808,0.172916
16,0.663347,2.078575,0.154072
17,0.631514,2.178575,0.131198
18,0.597769,2.315756,0.123957
19,0.566598,2.455767,0.111708
20,0.540612,2.590802,0.102580
21,0.518455,2.726154,0.097886
22,0.821901,2.791469,0.593463
23,0.510622,2.760472,0.095827
24,0.704289,2.871030,0.418433
25,1.131927,2.414506,1.018436
26,0.905171,2.259806,0.670261
27,0.920633,2.633234,0.740049
28,1.424244,1.622569,1.287964
29,1.178326,1.591832,0.948743
30,1.079269,1.782150,0.799787
31,1.191434,1.999923,1.081544
32,1.051194,2.069099,0.852049
33,1.102242,1.945869,0.900607
34,1.272733,1.854378,1.202591
35,1.333002,1.669728,1.273375
36,1.134532,1.730614,0.900844
37,1.185603,1.669119,0.968002
38,1.389253,1.664200,1.403616
39,1.264572,1.376974,0.992282
40,1.278431,1.466998,1.083467
41,1.441421,1.378346,1.389054
42,1.256619,1.261947,0.908155
43,1.363819,1.332889,1.193646
44,1.355899,1.280984,1.145981
45,1.289216,1.197908,0.938019
46,1.257993,1.357925,0.953134
47,1.334653,1.272515,1.080048
48,1.303615,1.279249,1.030183
49,1.305481,1.202282,0.975001
50,1.266745,1.273689,0.931324
